Strike,Contract Name,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
70,JPM170616C00070000,23.05,21.95,22.15,1.4,6.47%,1,"6,401",24.32%
72.5,JPM170616C00072500,19.44,19.45,20.25,0,0.00%,10,"6,471",34.64%
75,JPM170616C00075000,17.06,17.2,17.3,0,0.00%,18,"8,223",23.54%
77.5,JPM170616C00077500,15.15,14.8,15.55,0,0.00%,1,"4,167",30.32%
80,JPM170616C00080000,12.2,12.5,13.3,0,0.00%,10,"3,869",28.57%
82.5,JPM170616C00082500,10.15,10.35,10.55,0,0.00%,3,"2,153",22.32%
85,JPM170616C00085000,8.1,8.35,8.45,0,0.00%,17,"4,487",21.16%
87.5,JPM170616C00087500,6.6,6.6,6.65,0.35,5.60%,13,"3,536",20.90%
90,JPM170616C00090000,4.96,4.95,5,0.31,6.67%,19,"11,649",20.23%
92.5,JPM170616C00092500,3.95,3.6,3.65,0.62,18.62%,47,"5,037",19.89%
