Strike,Contract Name,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
70,JPM170421P00070000,0.06,0.01,0.1,0,0.00%,10,466,39.26%
75,JPM170421P00075000,0.1,0.09,0.1,0,0.00%,13,"2,798",30.57%
77.5,JPM170421P00077500,0.13,0.14,0.15,-0.03,-18.75%,30,"10,975",28.42%
80,JPM170421P00080000,0.19,0.21,0.22,-0.04,-17.39%,17,"1,804",26.03%
82.5,JPM170421P00082500,0.39,0.34,0.35,0,0.00%,430,"3,359",24.07%
85,JPM170421P00085000,0.56,0.56,0.57,-0.11,-16.42%,26,"11,224",22.22%
87.5,JPM170421P00087500,1,1.01,1.02,-0.23,-18.70%,18,"6,443",21.24%
90,JPM170421P00090000,1.72,1.73,1.74,-0.35,-16.91%,145,"7,725",20.31%
92.5,JPM170421P00092500,2.8,2.82,2.83,-0.5,-15.15%,175,"3,518",19.59%
95,JPM170421P00095000,3.98,4.3,4.35,-1.02,-20.40%,111,"1,613",19.23%
