Strike,Contract Name,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
882.5,AMZN170505C00882500,56.05,50.85,53,17.99,47.27%,1,4,36.38%
885,AMZN170505C00885000,53.2,48.5,50.35,17.8,50.28%,4,164,34.65%
887.5,AMZN170505C00887500,52.82,46,47.7,13.37,33.89%,9,246,32.92%
890,AMZN170505C00890000,44.57,44.1,45.1,5.07,12.84%,23,279,31.35%
892.5,AMZN170505C00892500,48.02,41.75,42.55,10.47,27.88%,17,247,29.93%
895,AMZN170505C00895000,42.12,39.4,40.3,7.12,20.34%,33,79,29.35%
897.5,AMZN170505C00897500,40.88,37.05,38.05,7.35,21.92%,22,46,28.72%
900,AMZN170505C00900000,34.98,34.75,35.55,1.98,6.00%,107,641,27.38%
902.5,AMZN170505C00902500,32.38,32.3,33.4,1.88,6.16%,33,54,26.92%
905,AMZN170505C00905000,31.7,30.15,31.15,2.2,7.46%,73,214,26.13%
907.5,AMZN170505C00907500,28.65,28,28.8,0.65,2.32%,64,132,25.05%
910,AMZN170505C00910000,26.19,26.1,26.6,-0.04,-0.15%,197,404,24.27%
912.5,AMZN170505C00912500,24.4,23.95,24.75,-0.1,-0.41%,31,73,24.17%
915,AMZN170505C00915000,22.85,22,22.75,-0.94,-3.95%,128,192,23.64%
917.5,AMZN170505C00917500,20.25,20.05,20.45,-2.5,-10.99%,49,118,22.40%
920,AMZN170505C00920000,18.13,17.95,18.55,-3.35,-15.60%,568,550,21.88%
922.5,AMZN170505C00922500,17.94,16.4,16.85,-2.52,-12.32%,22,81,21.63%
925,AMZN170505C00925000,14.95,14.65,15.05,-3.8,-20.27%,214,238,21.05%
927.5,AMZN170505C00927500,13.2,13.2,13.65,-4.8,-26.67%,57,77,21.07%
930,AMZN170505C00930000,12.01,11.45,11.85,-4.98,-29.31%,637,280,20.21%
