Strike,Contract Name,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
35,JPM170721C00035000,51.65,49.5,53.25,0,0.00%,10,10,62.50%
55,JPM170721C00055000,32.1,31.25,32.55,1.3,4.22%,3,5,0.00%
60,JPM170721C00060000,26.5,25.75,26.65,0,0.00%,14,19,0.00%
62.5,JPM170721C00062500,22.59,23.9,25.15,0,0.00%,1,141,0.00%
65,JPM170721C00065000,21.04,22.05,22.75,0,0.00%,1,94,0.00%
67.5,JPM170721C00067500,17.5,19.25,20.4,0,0.00%,10,290,0.00%
70,JPM170721C00070000,17.56,17.35,17.8,0.56,3.29%,3,311,0.00%
72.5,JPM170721C00072500,15.1,15.05,15.4,0.15,1.00%,5,400,0.00%
77.5,JPM170721C00077500,11.15,10.8,11.2,0,0.00%,50,"1,359",16.72%
80,JPM170721C00080000,9.81,9.65,10,0.96,10.85%,38,"1,965",22.07%
82.5,JPM170721C00082500,8.31,7.8,8.1,1,13.68%,36,"1,334",21.16%
85,JPM170721C00085000,6.3,6.2,6.35,0.8,14.55%,105,"2,905",20.20%
87.5,JPM170721C00087500,4.87,4.65,4.85,0.66,15.68%,71,"2,166",19.54%
90,JPM170721C00090000,3.61,3.5,3.6,0.5,16.08%,205,"5,642",19.04%
92.5,JPM170721C00092500,2.61,2.5,2.64,0.45,20.83%,76,"2,332",18.86%
95,JPM170721C00095000,1.86,1.74,1.88,0.36,24.00%,152,"2,263",18.68%
100,JPM170721C00100000,0.83,0.78,0.86,0.17,25.76%,100,790,18.25%
105,JPM170721C00105000,0.37,0.33,0.41,0.12,48.00%,7,64,18.60%
110,JPM170721C00110000,0.13,0.1,0.14,0,0.00%,1,0,17.97%
115,JPM170721C00115000,0.08,0.01,0.10,0,0.00%,500,515,19.73%
