Strike,Contract Name,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
30,JPM170317C00030000,56.94,55.55,58.45,0,0.00%,1,2,187.30%
50,JPM170317C00050000,36.3,35.95,36.7,0,0.00%,51,4,0.00%
52.5,JPM170317C00052500,30.41,31.45,33.15,0,0.00%,1,2,0.00%
55,JPM170317C00055000,32.25,31.95,32.15,0.49,1.54%,12,41,0.00%
57.5,JPM170317C00057500,31.15,30.6,30.75,3.97,14.61%,21,31,57.03%
60,JPM170317C00060000,28.25,28.1,28.25,1.08,3.97%,14,629,51.56%
62.5,JPM170317C00062500,24.5,24.65,24.8,2.45,11.11%,1,14,0.00%
65,JPM170317C00065000,23.63,23.05,23.8,1.58,7.17%,2,581,60.84%
67.5,JPM170317C00067500,20.75,20.6,20.75,0.95,4.80%,19,110,45.31%
70,JPM170317C00070000,18.42,18.1,18.3,1.07,6.17%,12,"1,834",42.87%
72.5,JPM170317C00072500,16.05,15.65,15.8,1.4,9.56%,19,"4,040",37.40%
75,JPM170317C00075000,13.25,13.15,13.3,1.05,8.61%,70,"4,040",31.93%
77.5,JPM170317C00077500,10.9,10.7,10.85,1.13,11.57%,44,"6,399",28.27%
80,JPM170317C00080000,8.39,8.3,8.45,0.93,12.47%,68,"5,687",25.15%
82.5,JPM170317C00082500,6.19,6,6.1,0.99,19.04%,227,"7,223",21.68%
85,JPM170317C00085000,4,3.9,4,0.82,25.79%,498,"9,396",19.75%
87.5,JPM170317C00087500,2.25,2.23,2.26,0.55,32.35%,"2,007","18,795",18.20%
83.5,JPM170217C00083500,3.1,3.55,3.65,0,0.00%,6,221,0.00%
84,JPM170217C00084000,4.6,4.1,4.2,1.35,41.54%,41,810,24.81%
84.5,JPM170217C00084500,4.1,3.6,3.7,1.4,51.85%,4,695,22.27%
